[13:23:13] [INFO] received Windows console close event; shutting log-core down
[13:38:34] [INFO] received Windows console close event; shutting log-core down
[13:39:01] [INFO] received Windows console close event; shutting log-core down
[13:40:57] [INFO] received Windows console close event; shutting log-core down
[14:08:10] [INFO] received Windows console close event; shutting log-core down
[14:09:04] [INFO] received Windows console close event; shutting log-core down
[14:35:43] [INFO] received Windows console close event; shutting log-core down
[14:36:07] [INFO] received Windows console close event; shutting log-core down
[14:37:43] [INFO] received Windows console close event; shutting log-core down
[14:37:43] [INFO] received Windows console close event; shutting log-core down
[14:38:06] [INFO] received Windows console close event; shutting log-core down
